"行","事務所コード","関与先コード","納税者(関与先)","決算月","申請・届出書類名","提出先","電子申請データ作成","電子署名(納税者)","電子署名(税理士)","送信","申請受付日時","即時通知","受信通知","送付書","提出期限","報告書","実践報告","監査担当者"
"11","15180","358","佐藤　譲二",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:55)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","木村　大介"
"12","15180","606","坂井　淳",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:57)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","川口　祐汰"
"13","15180","909","池田　郁美",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:58)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","大神　浩央"
"14","15180","447","藤原　延明",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:56)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","吉田　政偉"
"15","15180","148","三上　悦子",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(13:14)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","斗納　慶明"
"16","15180","160","熊谷　康則",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:55)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","吉田　政偉"
"17","15180","527","鳴戸　一郎",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:57)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","大神　浩央"
"18","15180","631","中道　清香",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:57)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","岡本　拓"
"19","15180","311","河角　憲司",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:55)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","大神　浩央"
"20","15180","345","畝　早苗",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:55)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","斗納　慶明"
"21","15180","474","植木　俊江",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:57)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","吉田　政偉"
"22","15180","435","谷本　淳",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:56)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","斗納　慶明"
"23","15180","431","川中　親志",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:56)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","吉田　政偉"
"24","15180","016","二神　浩司",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:54)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","斗納　慶明"
"25","15180","032","光山　豊文",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(13:11)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","斗納　慶明"
"26","15180","390","熊本　朝一",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:56)",,"完了","済"," 4. 7. 6(19:54)","正常","正常","有",,,"－","斗納　慶明"
"27","5121","299","有限会社　ケンソー","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(13:23)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","廣本　洋美"
"28","5121","901","株式会社　Ｎｅｘｔ　Ｄｒｅａｍ","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:53)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","大神　浩央"
"29","5121","304","有限会社　片口建設","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:48)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","斗納　慶明"
"30","5121","728","石飛商事　有限会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","吉田　政偉"
"31","5121","961","株式会社　インテリアエム","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:54)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","大神　浩央"
"32","5121","551","株式会社　ＷＡ　Ｃｒｅａｔｉｏｎ","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:50)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","大野　弘貴"
"33","5121","372","ラフ　株式会社","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:49)",,"完了","済"," 4. 7. 6(19:54)","正常","正常",,,,"－","大神　浩央"
"34","5121","112","株式会社　ＡＣＥ","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:46)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","山﨑　智之"
"35","5121","875","株式会社　Ｃａｓｔ　ｈａｉｒ　ｄｏｌｌ","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:53)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","斗納　慶明"
"36","5121","906","三益物産　株式会社","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:53)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"37","5121","908","福三　株式会社","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:54)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"38","5121","907","サンセイフーズ企業組合","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:53)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"39","5121","589","株式会社　瀬戸内サプライ","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:50)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"40","5121","154","株式会社　アール・イー","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(12:58)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","胤森　和樹"
"41","5121","568","株式会社　廣栄","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:50)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大野　弘貴"
"42","5121","124","株式会社　中村建築","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:46)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大野　弘貴"
"43","5121","980","株式会社　森川建設","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:54)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","斗納　慶明"
"44","5121","343","株式会社　クローバー","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:49)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"45","5121","757","株式会社　Ｒ－ｔｙｐｅ","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:52)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","斗納　慶明"
"46","5121","691","株式会社　小松塗装店","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"47","5121","077","吉加工業　株式会社","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:46)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","胤森　和樹"
"48","5121","209","弁護士法人　リーガルジャパン","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:47)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","山﨑　智之"
"49","5121","047","キュートク　株式会社","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:46)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","奥谷　佐代子"
"50","5121","138","株式会社　コジマホールディングス","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:47)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大野　弘貴"
"51","5121","723","株式会社　カラーベース","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"52","5121","869","株式会社　サニーテック","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:53)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","斗納　慶明"
"53","5121","863","株式会社　夢進","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:52)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"54","5121","786","エヌ・エス・コーポレーション　株式会社","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:52)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"55","5121","740","有限会社　まんてん企画","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:52)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","山﨑　智之"
"56","5121","729","行政書士法人　アッパーリンク","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:52)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","山﨑　智之"
"57","5121","678","株式会社　スラッガー","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:53)","正常","正常",,,,"－","大神　浩央"
"58","5121","671","株式会社　ワイ・エス・エス","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","胤森　和樹"
"59","5121","648","株式会社　ＫＳＧ","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大神　浩央"
"60","5121","645","梓ホーム　有限会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:50)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大野　弘貴"
"61","5121","657","株式会社　ケークラフト","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:51)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大神　浩央"
"62","5121","515","有限会社　上野商会","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:50)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大野　弘貴"
"63","5121","438","メイク・アップリフォーム　株式会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:49)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大神　浩央"
"64","5121","355","株式会社　プロノテック","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:49)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大神　浩央"
"65","5121","468","有限会社勝栄工務店","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(12:51)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","吉田　政偉"
"66","5121","495","有限会社　クリーンサービスオクダ","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:49)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","胤森　和樹"
"67","5121","837","有限会社　ラ・セッテ","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:52)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","飛垣内　恵美子"
"68","5121","238","株式会社　孔明","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:47)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","吉田　政偉"
"69","5121","501","有限会社　大翔","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:49)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大神　浩央"
"70","5121","283","オーケー産業　有限会社","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:48)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","大野　弘貴"
"71","5121","273","株式会社　ドリームガーデン","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:48)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","胤森　和樹"
"72","5121","245","有限会社　山根装工","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:48)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","胤森　和樹"
"73","5121","337","株式会社　プログレス","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:48)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","山﨑　智之"
"74","5121","592","有限会社　踊場","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:50)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","年岡　藍子"
"75","5121","246","有限会社　バンセイ","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:48)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","胤森　和樹"
"76","5121","242","有限会社　光南園","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:47)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","斗納　慶明"
"77","5121","164","有限会社　共同ネオン電機","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:47)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","川口　祐汰"
"78","5121","135","ハウス・クリエイト　有限会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:46)",,"完了","済"," 4. 7. 6(19:52)","正常","正常",,,,"－","廣本　洋美"
"79","15180","187","田中　一正",,"適格請求書発行事業者の公表事項の公表(変更)申出書","税務署"," 4. 6.30(12:54)",,"完了","済"," 4. 6.30(18:47)","正常","正常","有",,,"－","林　真理枝"
"80","5121","481","合同会社　なぎさ会","4","（地方）異動届","三原市"," 4. 6.27(09:47)",,"完了","済"," 4. 6.30(16:25)","正常","正常",,,,"－","胤森　和樹"
"81","15180","933","森本　貴子","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 6.28(12:25)",,"完了","済"," 4. 6.30(16:24)","正常","正常",,,,"－","岡本　拓"
"82","5121","740","有限会社　まんてん企画","3","（金銭交付用）事前確定届出給与に関する届出書","税務署"," 4. 6.29(08:43)",,"完了","済"," 4. 6.30(16:24)","正常","正常",," 4. 6.30",,"－","山﨑　智之"
"83","5121","940","株式会社　テラシエル・コーポレーション","4","欠損金の繰戻しによる還付請求書","税務署"," 4. 6.23(10:32)",,"完了","済"," 4. 6.30(16:24)","正常","正常",,,,"－","二間　晃治"
"84","15180","413","はいからさん","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 6.28(12:32)",,"完了","済"," 4. 6.30(16:24)","正常","正常",,,,"－","岡本　拓"
"85","15180","941","田辺　耕三",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:55)",,"完了","済"," 4. 6.30(08:56)","正常","正常","有",,,"－","飛垣内　恵美子"
"86","15180","946","田中　翔大",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:55)",,"完了","済"," 4. 6.30(08:56)","正常","正常","有",,,"－","飛垣内　恵美子"
"87","15180","559","宍戸　崇嘉",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:54)",,"完了","済"," 4. 6.30(08:56)","正常","正常","有",,,"－","奥谷　佐代子"
"88","15180","869","山口　正光",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(17:45)",,"完了","済"," 4. 6.30(08:56)","正常","正常","有",,,"－","塚澤　愛"
"89","15180","397","栗栖　正明",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:53)",,"完了","済"," 4. 6.30(08:56)","正常","正常","有",,,"－","飛垣内　恵美子"
"90","5121","462","有限会社　竹井商事","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:54)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","山﨑　智之"
"91","5121","156","株式会社　ティアンドエス","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:48)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"92","5121","588","株式会社　大塚塗装","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:52)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"93","5121","685","有限会社　サニーコーポレーション","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:52)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","吉川　知希"
"94","5121","716","株式会社　エス興業","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:52)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"95","5121","825","あさみや珈琲　株式会社","1","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:52)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"96","5121","058","ＨＲＴ　株式会社","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:48)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","飛垣内　恵美子"
"97","5121","082","有限会社　三興","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:48)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","塚澤　愛"
"98","5121","421","株式会社　ＴＡＫＵＳＥＩ","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:50)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"99","5121","458","第一システム　株式会社","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:51)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","三上　貴史"
"100","5121","935","森川電業　株式会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:53)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","飛垣内　恵美子"
"101","5121","368","株式会社　たかたケアサービス","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:50)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","吉川　知希"
"102","5121","491","株式会社　アラムデント","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:51)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","吉川　知希"
"103","5121","228","株式会社　ヒロコウ","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:49)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","宮奥　千悠"
"104","5121","964","医療法人　友安会","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:53)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","小林　政則"
"105","5121","184","有限会社　ショウワ","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(17:33)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","三上　貴史"
"106","5121","687","株式会社　パティスリーアン","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:52)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","飛垣内　恵美子"
"107","5121","585","相生エンジニアリング株式会社","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:51)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"108","5121","651","株式会社　イグニス","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:55)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","二間　晃治"
"109","5121","447","株式会社　田村工業","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:51)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","吉川　知希"
"110","5121","503","株式会社　たはら","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(17:37)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","飛垣内　恵美子"
"111","5121","482","有限会社　マルミツ","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:51)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","宮奥　千悠"
"112","5121","306","有限会社　バイカーズ・ベア","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:50)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","岩崎　健大"
"113","5121","797","有限会社　岡島盛夫商店","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:52)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","吉川　知希"
"114","5121","376","株式会社　ライブス","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:50)",,"完了","済"," 4. 6.30(08:56)","正常","正常",,,,"－","吉田　由美"
"115","5121","300","有限会社　山将工業","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:50)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","吉川　知希"
"116","5121","179","有限会社　ベラミステーション","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:49)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","宮奥　千悠"
"117","5121","277","有限会社　連合設備設計","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:49)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","飛垣内　恵美子"
"118","5121","275","有限会社　宇和写真広島","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:49)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","吉川　知希"
"119","5121","229","有限会社　山陽テープ","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:49)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","三上　貴史"
"120","5121","163","株式会社　但馬屋","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:48)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","吉川　知希"
"121","5121","105","株式会社　エス・ケイハウジング","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:48)",,"完了","済"," 4. 6.30(08:55)","正常","正常",,,,"－","山﨑　智之"
"122","5121","041","有限会社　山地内装工芸","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.27(16:48)",,"完了","済"," 4. 6.30(08:36)","正常","正常",,,,"－","岩崎　健大"
"123","99999","199","中原　洋和",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(16:02)",,"完了","済"," 4. 6.27(13:27)","正常","正常","有",,,"－","高橋　健吉"
"124","15180","066","門出　真治",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:58)",,"完了","済"," 4. 6.27(13:27)","正常","正常","有",,,"－","山内　龍輝"
"125","15180","202","久保　恭隆",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:58)",,"完了","済"," 4. 6.27(13:27)","正常","正常","有",,,"－","山内　龍輝"
"126","15180","773","野口　紘志",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(16:01)",,"完了","済"," 4. 6.27(13:26)","正常","正常","有",,,"－","上畠　達也"
"127","15180","466","三反畑　雅司",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(16:00)",,"完了","済"," 4. 6.27(13:26)","正常","正常","有",,,"－","上畠　達也"
"128","15180","721","村上　健太",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(16:00)",,"完了","済"," 4. 6.27(13:26)","正常","正常","有",,,"－","岡本　拓"
"129","15180","319","上垣　篤弘",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:59)",,"完了","済"," 4. 6.27(13:26)","正常","正常","有",,,"－","山内　龍輝"
